,ID_transaccion,Rut,Fecha,Monto,Local
0,11468,18001449,2020-01-02 19:12:33.719814619,76614,L15
1,19219,18001449,2020-01-09 09:21:52.789657695,17547,L15
2,17850,18001449,2020-01-10 08:05:46.564761362,36592,L5
3,21089,18001449,2020-01-09 15:12:11.474103585,88654,L17
4,18385,18001449,2020-01-10 07:55:28.368160013,60884,L15
5,21858,18001449,2020-01-10 22:51:51.472477437,86499,L4
6,20741,18001449,2020-01-04 02:07:09.108057565,58404,L1
7,16635,18001449,2020-01-02 17:05:03.536872916,41881,L6
8,16823,18001449,2020-01-01 10:34:56.365558175,20365,L14
9,18944,18001449,2020-01-06 21:46:38.568989348,5685,L16
10,14504,18001449,2020-01-09 23:46:04.029595902,12030,L5
11,10163,18001449,2020-01-06 01:03:48.603951540,68253,L16
12,21510,18001449,2020-01-03 10:33:25.041060248,74060,L7
13,17230,18001449,2020-01-03 04:05:45.393934466,71151,L10
14,11419,18001449,2020-01-11 09:29:22.387185950,69047,L12
15,18020,18001449,2020-01-05 04:28:42.286364745,81411,L17
16,18221,18001449,2020-01-03 16:05:41.881453776,14841,L9
17,15880,18001449,2020-01-01 15:01:32.202618099,59278,L2
18,19710,18001449,2020-01-02 02:08:40.432555492,33239,L7
19,15816,18001449,2020-01-02 09:56:11.103341735,51822,L2
20,15603,18001449,2020-01-11 02:08:54.482478250,64443,L1
21,17244,18001449,2020-01-08 18:15:11.488738921,81096,L1
22,18649,18005940,2020-01-09 01:06:02.078217741,4054,L11
23,16596,18005940,2020-01-05 18:29:42.583949914,40400,L13
24,17955,18005940,2020-01-02 02:37:00.473209204,80734,L11
25,22143,18005940,2020-01-06 04:13:07.966501341,27261,L3
26,22172,18005940,2020-01-01 23:48:17.503862102,56805,L15
27,17475,18005940,2020-01-09 21:54:01.141556224,20732,L15
28,18670,18005940,2020-01-09 11:31:57.521749735,66974,L11
29,12127,18005940,2020-01-06 06:15:29.051142369,82374,L1
30,21249,18005940,2020-01-10 22:38:58.726725750,83855,L4
31,16904,18005940,2020-01-03 16:13:25.528904789,70136,L7
32,11315,18005940,2020-01-04 09:32:46.111065940,60536,L12
33,15961,18005940,2020-01-04 03:07:41.013090495,24752,L1
34,14098,18005940,2020-01-05 02:39:13.947475404,88283,L12
35,21229,18005940,2020-01-04 11:13:13.527929099,49856,L1
36,11164,18012693,2020-01-08 00:26:13.591348890,41933,L11
37,14744,18012693,2020-01-09 06:43:28.016911944,46938,L1
38,16339,18012693,2020-01-10 01:18:47.799008049,45066,L14
39,10062,18012693,2020-01-02 13:37:42.330270753,60961,L16
40,14130,18012693,2020-01-06 04:13:07.966501341,75176,L10
41,20128,18012693,2020-01-08 14:33:40.261809903,16771,L1
42,12410,18012693,2020-01-04 05:34:30.314659728,19808,L5
43,14934,18012693,2020-01-07 15:25:18.269778030,6421,L2
44,17158,18012693,2020-01-10 08:39:15.703715749,39898,L14
45,15245,18025515,2020-01-02 15:34:54.316611106,26219,L9
46,19037,18025515,2020-01-09 19:43:56.409464184,8083,L11
47,14948,18025515,2020-01-01 03:19:37.559151150,61348,L4
48,17146,18025515,2020-01-09 15:43:06.063907634,76507,L14
49,13843,18025515,2020-01-11 20:54:32.461175705,16536,L5
50,14877,18025515,2020-01-10 23:33:04.258882836,71165,L17
51,12522,18025515,2020-01-03 08:32:21.230994389,24150,L10
52,14012,18025515,2020-01-04 03:25:42.857142857,69841,L8
53,12794,18025515,2020-01-02 14:04:45.096349296,39674,L15
54,18081,18025515,2020-01-01 01:03:06.454183266,76869,L11
